Venue,Review ID,review,Tone,Review URL
ICLR,B12Js_yRb_R3,"this method is built on a series of heuristics without sound theoretically justification , and these heuristics cannot be easily adapted to other machine learning applications .",3,
ICLR,B12Js_yRb_R3,I believe the overall contribution is not sufficient for ICLR .,2,
ICLR,B12Js_yRb_R3,Well written paper with clear presentation of the method .,4,
ICLR,B12Js_yRb_R3,Can the author provide analysis on scalability the proposed method ?,3,
ICLR,B13EC5u6W_R1,This is quite an interesting paper with a sensible goal. It seems like the method could be more informative than the other methods .,4,
ICLR,B13EC5u6W_R1,"It would be v interesting ( and provide a good baseline ) to use a shallow network ( i.e . PCA ) instead , and elucidate what advantages the deep network brings .",4,
ICLR,B13EC5u6W_R1,The reconstructions show poor detail relative to the originals .,3,
ICLR,B13EC5u6W_R1,"* Overall : the paper contains an interesting idea , but given the deficiencies raised above I judge that it falls below the ICLR threshold .",4,
ICLR,B13EC5u6W_R2,The proposed method uses - a generator trained in a GAN setup - an autoencoder to obtain a latent space representation - a method inspired by adversarial sample generation to obtain a generated image from another class.,3,
ICLR,B13EC5u6W_R2,It would be great if the authors could come up with an additional way to demonstrate their method to the non medical reader .,4,
ICLR,B13EC5u6W_R2,The authors train their system with the testdata included which leads to very different visualizations .,4,
ICLR,B13EC5u6W_R2,This looks very noisy and non interesting .,2,
ICLR,B13EC5u6W_R3,This focus is mainly on medical image classification but the approach could potentially be useful in many more areas .,4,
ICLR,B13EC5u6W_R3,This gives an image that is similar to the original but with features that caused the classification of the disease removed .,3,
ICLR,B13EC5u6W_R3,The resulting image can be subtracted from the original encoding to highlight problematic areas .,3,
ICLR,B13EC5u6W_R3,"The idea in the paper is , to my knowledge , novel , and represents a good step toward the important task of generating interpretable visual rationales .",4,
ICLR,B13EC5u6W_R3,"There are a few details missing , like the batch sizes used for training ( it is difficult to relate epochs to iterations without this ) .",3,
ICLR,B13EC5u6W_R3,"It is also a little confusing that you begin this paragraph saying that you are doing a classification task , but then it seems like a regression task which may be postprocessed to give a classification .",3,
ICLR,B13njo1R-_R1,"Section 4.1 states""We use a method similar to the DAGGER algorithm "" , but what is your method .",2,
ICLR,B13njo1R-_R1,"- I do not understand the purpose of "" input injection "" nor where it is used in the paper .",2,
ICLR,B13njo1R-_R1,The method is simple but novel,3,
ICLR,B13njo1R-_R1,Figure 2 : the plots are too small .,3,
ICLR,B13njo1R-_R1,The paper cites many previous approaches to this but does not compare against any of them .,3,
ICLR,B13njo1R-_R1,- A second testbed ( such as navigation or manipulation ) would bring the paper up a notch .,4,
ICLR,B13njo1R-_R1,The method is clear but not precisely described .,3,
ICLR,B13njo1R-_R2,"PLAID masters several distinct tasks in sequence , building up skills by learning related tasks of increasing difficulty .",3,
ICLR,B13njo1R-_R2,"- Although the main focus of this paper is on continual learning of related tasks , the authors acknowledge this limitation and convincingly argue for the chosen task domain .",4,
ICLR,B13njo1R-_R3,But I find the paper lacking a lot of details and to some extend confusing .,2,
ICLR,B13njo1R-_R3,Please first of all make the figures much larger .,5,
ICLR,B13njo1R-_R3,"ICLR does not have a strict page limit , and the figures you have are hard to impossible to read .",3,
ICLR,B13njo1R-_R3,"Indeed , because the retention of tasks is done by distilling all of them jointly , one baseline is to keep finetuning a model through the 5 stages , and then at the end after collecting the 5 policies you can do a single consolidation step that compresses all .",3,
ICLR,B13njo1R-_R3,Please say in the main text that details in terms of architecture and so on are given in the appendix .,5,
ICLR,B13njo1R-_R3,"But I want to make sure the authors put a bit more effort into cleaning up the paper , making it more clear and easy to read .",3,
ICLR,B14TlG-RW_R1,The goal is to avoid recurrent which is sequential and hence a bottleneck during both training and inference .,3,
ICLR,B14TlG-RW_R1,The proposed model is convincing and the paper is well written .,4,
ICLR,B14TlG-RW_R1,The proposed data augmentation is a general one and it can be used to improve the performance of other models as well .,3,
ICLR,B14TlG-RW_R1,I think it is ok to have some deterioration in the performance as you have a good speedup when compared to other models .,4,
ICLR,B14TlG-RW_R1,3 . The paper can be significantly strengthened by adding at least one more reading comprehension dataset .,4,
ICLR,B14TlG-RW_R1,"Given the sufficient time for rebuttal , I am willing to increase my score if authors report results in an additional dataset in the revision .",4,
ICLR,B14TlG-RW_R1,Please be consistent .,4,
ICLR,B14TlG-RW_R2,"Firstly , I suggest the authors rewrite the end of the introduction .",3,
ICLR,B14TlG-RW_R2,The current version tends to mix everything together and makes the misleading claim .,3,
ICLR,B14TlG-RW_R2,The novelty is limited but it is a good idea to speed up the RC models .,4,
ICLR,B14TlG-RW_R2,"However , as the authors hoped to claim that this module could contribute to both speedup and RC performance , it will be necessary to show the RC performance of the same model architecture , but replacing the CNNs with LSTMs .",3,
ICLR,B14TlG-RW_R2,I feel that the model design is the main reason for the good overall RC performance .,4,
ICLR,B14TlG-RW_R2,"However , in the paper there is no motivation about why the architecture was designed like this .",3,
ICLR,B14TlG-RW_R2,it is not convincing that the system design has good generalization .,3,
ICLR,B14TlG-RW_R2,I like the idea of data augmentation with paraphrasing .,4,
ICLR,B14TlG-RW_R3,"At the moment , the description in section 3 is fuzzy in my opinion .",2,
ICLR,B14uJzW0b_R1,Importance : Understanding the landscape ( local vs global minima vs saddle points ) is an important direction in order to further understand when and why deep neural networks work .,3,
ICLR,B14uJzW0b_R1,"To the best of my understanding , the paper has some misconceptions .",3,
ICLR,B14uJzW0b_R1,"Another issue is the fact that , on my humble opinion , the main text looks like a long proof .",3,
ICLR,B14uJzW0b_R1,"The paper mainly focuses on a specific problem instance , where the weight vectors are unit normed and orthogonal to each other .",3,
ICLR,B14uJzW0b_R1,"The paper reads like a collection of lemmas , with no verbose connection .",3,
ICLR,B14uJzW0b_R1,"It was hard to read and understand their value , just because mostly the text was structured as one lemma after the other .",3,
ICLR,B14uJzW0b_R2,""" In this paper the authors studied the theoretical properties of manifold descent approaches in a standard regression problem , whose regressor is a simple neural network .",3,
ICLR,B14uJzW0b_R2,"I also appreciate the effort of developing theoretical results for deep learning , even though the current results are restrictive to very simple NN architectures .",4,
ICLR,B14uJzW0b_R2,"The analysis becomes considerably more complicated , and the contribution seems to be novel and significant .",4,
ICLR,B14uJzW0b_R2,I am not sure why did the authors mentioned the work on over parameterization though .,3,
ICLR,B14uJzW0b_R2,"While the Re LU activation is very common in NN architecture , without more motivations I am not sure what are the impacts of these results .",2,
ICLR,B14uJzW0b_R2,"While I appreciate the technical contributions , in order to improve the readability of this paper , it would be great to see more motivations of the problem studied in this paper ( even with simple examples ) .",3,
ICLR,B14uJzW0b_R3,""" This paper considers a special deep learning model and shows that in expectation , there is only one unique local minimizer .",3,
ICLR,B16_iGWCW_R1,Its not clear what kind of loss function is really being optimised here .,2,
ICLR,B16_iGWCW_R1,"It feels like it should be the same , but the tweaks applied to fix weights across all samples for a class doesnt make it not clear what is that really gets optimised at the end .",3,
ICLR,B16_iGWCW_R1,"And crudely speaking , you can think of a class weight to be the expectation of its sample weights and you will end up in a similar setup .",3,
ICLR,B16_iGWCW_R1,"- Experimentally , paper would benefit with better comparisons and studies : 1 ) state of the art methods havent been compared against ( e.g . Image Net experiment compares to 2 years old method ) 2 ) comparisons to using normal Ada Boost on more complex methods havent been studied ( other than the MNIST ) 3 ) comparison to simply ensembling with random initialisations .",4,
ICLR,B16_iGWCW_R1,Paper would benefit from writing improvements to make it read better .,3,
ICLR,B16_iGWCW_R2,The wrongly classified samples get large weights such that in the next round those samples will be more likely to get right .,3,
ICLR,B16_iGWCW_R2,Thus the learned weak learner at this round will make different mistakes .,3,
ICLR,B16_iGWCW_R2,This paper instead designed a new boosting method which puts large weights on the category with large error in this round .,4,
ICLR,B16_iGWCW_R2,"Experiments show its usefulness though experiments are limited """,3,
ICLR,B16_iGWCW_R3,There is hardly any baseline compared in the paper .,3,
ICLR,B16yEqkCZ_R1,""" The paper addresses the problem of learners forgetting rare states and revisiting catastrophic danger states .",3,
ICLR,B16yEqkCZ_R1,The authors propose to train a predictive fear model that penalizes states that lead to catastrophes .,3,
ICLR,B16yEqkCZ_R1,Judging from the description of the experiments this parameter is important to the performance of the method and needs to be set experimentally .,3,
ICLR,B16yEqkCZ_R1,No empirical results on the effect of the parameter are given .,3,
ICLR,B16yEqkCZ_R1,This problem does not seem to be really solved by this method .,2,
ICLR,B16yEqkCZ_R1,It would therefore be interesting to see some long running experiments and analyse how often catastrophic states ( or those close to them ) are visited .,4,
ICLR,B16yEqkCZ_R1,"The paper also does not compare to any other techniques that attempt to deal with catastrophic forgetting and/or the changing state distribution ( [ 1,2 ] ) .",3,
ICLR,B16yEqkCZ_R1,The motivation in the appendix is very informal and no clear derivation is provided .,3,
ICLR,B16yEqkCZ_R1,"Any optimal policy would therefore need to spend some time e in the danger state , on average .",3,
ICLR,B16yEqkCZ_R1,It wasnt clear what assumptions the authors make to exclude situations like this .,4,
ICLR,B16yEqkCZ_R2,It seems that catastrophe states need to be experienced at least once .,3,
ICLR,B16yEqkCZ_R3,""" The paper studies catastrophic forgetting , which is an important aspect of deep reinforcement learning ( RL ) .",3,
ICLR,B16yEqkCZ_R3,"I believe this observation , though not entirely novel , will inspire many researchers to study catastrophic forgetting and propose improved strategies for handling these issues .",4,
ICLR,B16yEqkCZ_R3,"The paper is accurate , very well written ( apart from a small number of grammatical mistakes ) and contains appealing motivations to its key contributions .",5,
ICLR,B16yEqkCZ_R3,"In fact , it is not difficult to design examples for which the proposed algorithm would be far from optimal .",3,
ICLR,B16yEqkCZ_R3,A potential weakness with the paper is that the proposed strategies appear to be simple to improve upon and that they have not convinced me that they would yield good performance on a wider set of problems .,3,
ICLR,B17JTOe0-_R1,The paper is overall quite interesting and the study is pretty thorough : no major cons come to mind .,4,
ICLR,B17JTOe0-_R1,That seems important to explain more thoroughly than is done in the current text .,3,
ICLR,B17JTOe0-_R2,"While ICLR is not focused on neuroscientific studies , this paper clearly belongs here as it shows what representations develop in recurrent networks that are trained on spatial navigation .",4,
ICLR,B17JTOe0-_R2,The paper mentions a metabolic cost that is not specified in the paper .,3,
ICLR,B17JTOe0-_R2,I am puzzled why is the error is coming down before the boundary interaction ?,2,
ICLR,B17JTOe0-_R3,"The manuscript is not written in a way that is suitable for the target ICLR audience which will include , for the most part , readers that are not expert on the entorhinal cortex and/or spatial navigation .",3,
ICLR,B17JTOe0-_R3,"For instance , in the introduction , it is stated that previous attractor network type of models ( which are also recurrent networks ) [...] require hand crafted and fined tuned connectivity patterns , and the evidence of such specific 2D connectivity patterns has been largely absent .",4,
ICLR,B17JTOe0-_R3,I found the study of the effect of regularization to be potentially the most informative for neuroscience but it is only superficially treated .,2,
ICLR,B18WgG-CZ_R1,"Its not very surprising that adding more tasks and data improves performance on average across downstream tasks , but it is nice to see the experimental results in detail .",4,
ICLR,B18WgG-CZ_R1,I also like how the authors move beyond the standard sentence tasks to evaluate also on the Quora question duplicate task with different amounts of training data and also consider the sentence characteristic / syntactic property tasks .,4,
ICLR,B18WgG-CZ_R1,"Regarding the results in Table 2 : The results in Table 2 seem a little bit unstable , as it is unclear which setting to use for the classification tasks ; maybe it depends on the kind of classification being performed .",3,
ICLR,B18WgG-CZ_R1,"Adding parsing as a training task hurts performance on the sentence classification tasks while helping performance on the semantic tasks , as the authors note .",4,
ICLR,B18WgG-CZ_R1,"Did the authors replicate the results of those methods themselves , or report them from other papers ?",4,
ICLR,B18WgG-CZ_R1,"For other results on these datasets , including stronger results in non fixed dimensional sentence embedding transfer settings , see results and references in Mc Cann et al .",3,
ICLR,B18WgG-CZ_R1,"For all tasks for which there is additional training , theres a confound due to the dimensionality of the sentence embeddings across papers .",3,
ICLR,B18WgG-CZ_R1,It doesnt make much sense to me to omit pairs with OOVs .,2,
ICLR,B18WgG-CZ_R1,There are much better embeddings on Sim Lex than the embeddings whose results are reported in the table .,3,
ICLR,B18WgG-CZ_R1,Some readers may mistakenly think that the embeddings are SOTA on Sim Lex since no stronger results are provided in the table .,3,
ICLR,B18WgG-CZ_R1,I feel the motivation for this is lacking .,2,
ICLR,B18WgG-CZ_R1,I would suggest adding some motivation for the focus on fixed length representations .,3,
ICLR,B18WgG-CZ_R2,"The authors mostly addressed my main concern , which was the relatively weak ablation .",4,
ICLR,B18WgG-CZ_R2,"I disagree with the response , though , that the authors can lean on other papers to help fill in the ablationevery paper in this area uses subtly different configurations .",2,
ICLR,B18WgG-CZ_R2,"I have one small lingering concern , which is not big enough to warrant acceptance : R2s point 10 is validthe use of multiple RNNs trained on different objectives in the ablation experiments unexpected and unusual , and deserves mention in the body of the paper , rather than only in an appendix .",3,
ICLR,B18WgG-CZ_R3,"Another question I have is that if there is any specific reason that language modeling is not included as one of the training objectives to learn sentence representations , given that it seems to be the easiest one to collect training data for .",4,
ICLR,B1CEaMbR-_R1,The claimed main contribution of the paper is the taxonomy .,3,
ICLR,B1CEaMbR-_R1,Therefore the impact or actual contribution to the ICLR community is very limited .,3,
ICLR,B1CEaMbR-_R3,"Furthermore , in Section 4 a new method is proposed , that is to combine the best parts of the already existing models in the literature .",3,
ICLR,B1CEaMbR-_R3,"Also , it overall rather appears short .",3,
ICLR,B1CNpYg0-_R1,"- I would be slightly surprised if no previous work has used external resources for training word representations using an end task loss , but I dont know the area well enough to make specific suggestions - Im a little skeptical about how often this method would really be useful in practice .",2,
ICLR,B1CNpYg0-_R3,"The strength of this paper is that it both gives a more systematic framework for and builds on existing ideas ( character based models , using dictionary definitions ) to implement them as part of a model trained on the end task .",5,
ICLR,B1CNpYg0-_R3,"In general , for the scope of the paper , it seems like what is here could fairly easily have been made into a short paper for other conferences that have that category .",3,
ICLR,B1CNpYg0-_R3,"While this argument has intuitive appeal , it seems to fly in the face of the fact that actually spelling models , including in this paper , seem to do surprisingly well at learning such arbitrary semantics .",4,
ICLR,B1CQGfZ0b_R1,"The proposed approach is interesting , but I feel that the experimental section does not serve to show its merits for several reasons .",3,
ICLR,B1CQGfZ0b_R1,"Given that the results are very close to other approaches , it remains unclear whether they are simply due to random variations , or whether the proposed approach actually achieves a non random improvement .",3,
ICLR,B1CQGfZ0b_R1,"The border pixels are probably sufficient to learn the program perfectly , and in fact this may be exactly what the neural net is learning .",4,
ICLR,B1CQGfZ0b_R2,"The paper isnt presented in exactly these terms , but the idea is to consider a uniform distribution over programs and a zero one likelihood for input output examples ( so observations of I/O examples just eliminate inconsistent programs ) .",3,
ICLR,B1CQGfZ0b_R2,"I cant see how this approach would be tractable in more standard program synthesis domains where inputs might be lists of arrays or strings , for example .",3,
ICLR,B1CQGfZ0b_R2,"Not only is it impossible to reproduce a paper without any architectural details , but the result is then that Fig 3 essentially says inputs -> "" magic "" -> outputs .",2,
ICLR,B1CQGfZ0b_R2,- This paper is poor in the reproducibility category .,2,
ICLR,B1CQGfZ0b_R2,"Overall : Theres the start of an interesting idea here , but I dont think the quality is high enough to warrant publication at this time .",3,
ICLR,B1CQGfZ0b_R3,""" General purpose program synthesizers are powerful but often slow , so work that investigates means to speed them up is very much welcome this paper included .",3,
ICLR,B1CQGfZ0b_R3,"For the most paper , the paper is clearly written , with each design decision justified and rigorously specified .",4,
ICLR,B1CQGfZ0b_R3,The paper did not specify how often the neural net must be trained .,3,
ICLR,B1CQGfZ0b_R3,These are all points that require discussion which is currently missing from the paper .,3,
ICLR,B1CQGfZ0b_R3,"Page 5 : note that we do not suggest a specific neural network architecture for the middle layers , one should select whichever architecture that is appropriate for the domain at hand - such as ?",2,
ICLR,B1D6ty-A-_R1,"I do want to note my other concerns : I suspect the theoretical results obtained here are somewhat restricted to the least squares , autoencoder loss .",2,
ICLR,B1D6ty-A-_R1,A negative answer to this question will somewhat undermine the significance of the single hidden layer result .,3,
ICLR,B1D6ty-A-_R1,"Practically , even if the authors can perform efficient optimization of weights in individual layers , when there are many layers , the alternating optimization nature of the algorithm can possibly result in overall slower convergence .",3,
ICLR,B1D6ty-A-_R2,"Yes they are useful if one was doing 2 layer neural networks for binary classification , but it is not clear to me how they are useful for autoencoder problems .",2,
ICLR,B1D6ty-A-_R2,3 . Experimental results for classification are not convincing enough .,3,
ICLR,B1D6ty-A-_R2,I would recommend the authors to rerun these experiments but truncate the iterations early enough .,3,
ICLR,B1DmUzWAW_R1,Design choices made for the reinforcement learning setup ( e.g . temporal convolutions ) are not necessarily applicable to few shot classification .,3,
ICLR,B1DmUzWAW_R1,Discussion of results relative to baselines is somewhat lacking .,3,
ICLR,B1DmUzWAW_R1,"In few shot classification , the sequence length can be known a prior .",3,
ICLR,B1DmUzWAW_R1,"Overall , the proposed approach is novel and achieves good results on a range of tasks .",4,
ICLR,B1DmUzWAW_R2,""" The authors propose a model for sequence classification and sequential decision making .",3,
ICLR,B1DmUzWAW_R2,"The authors claim that Vaswani model does not incoporate positional information , but from my understanding , it actually does so using positional encoding .",3,
ICLR,B1DmUzWAW_R2,I think comparison to such a similar model would strengthen the novelty of this paper ( e.g . convolution is a superior method of incorporating positional information ) .,4,
ICLR,B1DmUzWAW_R2,I think this information would be very useful to the community in terms of what to take away from this paper .,4,
ICLR,B1DmUzWAW_R2,"In retrospect , I wish the authors would have spent more time doing ablation studies than tackling more task domains .",1,
ICLR,B1DmUzWAW_R3,"Despite that the work is more application oriented , the paper would have been stronger and more impactful if it includes more work on the theoretical side .",4,
ICLR,B1DmUzWAW_R3,The result from the paper seems to answer with in all cases but then that always brings the issue of overfitting or parameter tuning issue .,3,
ICLR,B1EA-M-0Z_R1,"Here , the sharing is essentially meaningless , because the variance of the weights in this derivation shrinks to zero .",2,
ICLR,rywDjg-RW_R3,"The paper is very well written overall , but I found the introduction to be unsatisfyingly vagueit was hard for me to evaluate your key observations when I couldnt quite yet tell what the system youre proposing actually does .",4,
ICLR,rywDjg-RW_R3,The paragraph about key observation III finally reveals some of these details I would suggest moving this much earlier in the introduction .,3,
ICLR,rywDjg-RW_R3,"Page 4 , Appendix A shows the resulting search DAG - As this is a figure accompanying a specific illustrative example , it belongs in this section , rather than forcing the reader to hunt for it in the Appendix .",2,
ICLR,rywHCPkAW_R1,""" In this paper , a new heuristic is introduced with the purpose of controlling the exploration in deep reinforcement learning .",3,
ICLR,rywHCPkAW_R1,"The proposed approach , Noisy Net , seems very simple and smart : a noise of zero mean and unknown variance is added to each weight of the deep network .",4,
ICLR,rywHCPkAW_R1,The matrices of unknown variances are considered as parameters and are learned with a standard gradient descent .,3,
ICLR,rywHCPkAW_R1,"The strengths of the proposed approach are the following : 1 Noisy Net is generic : it is applied to A3C , DQN and Dueling agents .",4,
ICLR,rywHCPkAW_R1,2 Noisy Net reduces the number of hyperparameters .,3,
ICLR,rywHCPkAW_R1,"3 Noisy Net exhibits impressive experimental results in comparison to the usual exploration heuristics for to A3C , DQN and Dueling agents .",3,
ICLR,rywHCPkAW_R1,The weakness of the proposed approach is the lack of explanation and investigation ( experimental or theoretical ) of why does Noisy work so well .,3,
ICLR,rywHCPkAW_R1,At the end of the paper a single experiment investigates the behavior of weights of noise during the learning .,3,
ICLR,rywHCPkAW_R1,"Indeed , the confidence intervals are not plotted , and probably no conclusion can be reached because the curves are averaged only across three seeds !",3,
ICLR,rywHCPkAW_R1,"As expected for an exploration heuristic , it seems that the noise weights of the last layer ( slowly ) tend to zero .",3,
ICLR,rywHCPkAW_R1,"However for some games , the weights of the penultimate layer seem to increase .",3,
ICLR,rywHCPkAW_R1,Is it due to Noisy Net or to the lack of seeds ?,3,
ICLR,rywHCPkAW_R1,"The factorized Gaussian noise , which reduces the number of parameters , is associated with DQN and Dueling agents , while the independent noise is associated with A3C agent .",3,
ICLR,rywHCPkAW_R2,""" This paper introdues Noisy Nets , that are neural networks whose parameters are perturbed by a parametric noise function , and they apply them to 3 state of the art deep reinforcement learning algorithms : DQN , Dueling networks and A3C .",3,
ICLR,rywHCPkAW_R2,"They obtain a substantial performance improvement over the baseline algorithms , without explaining clearly why .",2,
ICLR,rywHCPkAW_R2,"If this is not what you mean , you should reformulate ... p2 : "" Though these methods often rely on a non trainable noise of vanishing size as opposed to Noisy Net which tunes the parameter of noise by gradient descent . """,3,
ICLR,rywHCPkAW_R2,"Two ideas seem to be collapsed here : the idea of diminishing noise over an experiment , exploring first and exploiting later , and the idea of adapting the amount of noise to a specific problem .",3,
ICLR,rywHCPkAW_R2,It should be made clearer whether Noisy Net can address both issues and whether other algorithms do so too ...,3,
ICLR,rywHCPkAW_R2,"In particular , an algorithm may adapt noise along an experiment or from an experiment to the next .",3,
ICLR,rywHCPkAW_R2,"From Fig.3 , one can see that having the same initial noise in all environments is not a good idea , so the second mechanism may help much .",4,
ICLR,rywHCPkAW_R2,"- I would start with the paragraph "" Considering a linear layer [...] below ) "" and only after this I would introduce theta and xi as a more synthetic notation .",2,
ICLR,rywHCPkAW_R2,"Later in the paper , you then have to state "" . . . are now noted xi "" several times , which I found rather clumsy . p5 : Why do you use option ( b ) for DQN and Dueling and option ( a ) for A3C ?",2,
ICLR,rywHCPkAW_R2,The reason why ( if any ) should be made clear from the clearer presentation required above .,3,
ICLR,rywHCPkAW_R2,"By the way , a wild question : if you wanted to use Noisy Nets in an actor critic architecture like DDPG , would you put noise both in the actor and the critic ?",2,
ICLR,rywHCPkAW_R2,The paragraph above Fig3 raises important questions which do not get a satisfactory answer .,3,
ICLR,rywHCPkAW_R2,"Why is it that , in deterministic environments , the network does not converge to a deterministic policy , which should be able to perform better ?",3,
ICLR,rywHCPkAW_R2,Why is it that the adequate level of noise changes depending on the environment ?,3,
ICLR,rywHCPkAW_R2,"Finally , I would be glad to see the effect of your technique on algorithms like TRPO and PPO which require a stochastic policy for exploration , and where I believe that the role of the KL divergence bound is mostly to prevent the level of stochasticity from collasping too quickly .",4,
ICLR,rywHCPkAW_R2,"At the top of p3 , you may update your list with PPO and ACKTR , which are now "" classical "" baselines too .",4,
ICLR,rywHCPkAW_R2,"Appendices A1 and A2 are a lot redundant with the main text ( some sentences and equations are just copy pasted ) , this should be improved .",4,
ICLR,rywHCPkAW_R2,"Ax/By/Cz "" should be replaced by "" Appendix Ax/By/Cz "" .",4,
ICLR,rywHCPkAW_R2,"Besides , the big table and the list of performances figures should themselves be put in two additional appendices and you should refer to them as Appendix D or E rather than "" the Appendix "" .",4,
ICLR,rywHCPkAW_R3,""" A new exploration method for deep RL is presented , based on the idea of injecting noise into the deep networks weights .",3,
ICLR,rywHCPkAW_R3,The noise may take various forms ( either uncorrelated or factored ) and its magnitude is trained by gradient descent along other parameters .,3,
ICLR,rywHCPkAW_R3,"It is shown how to implement this idea both in DQN ( and its dueling variant ) and A3C , with experiments on Atari games showing a significant improvement on average compared to these baseline algorithms .",4,
ICLR,rywHCPkAW_R3,"This definitely looks like a worthy direction of research , and experiments are convincing enough to show that the proposed algorithms indeed improve on their baseline version .",5,
ICLR,rywHCPkAW_R3,"The specific proposed algorithm is close in spirit to the one from Parameter space noise for exploration , but there are significant differences .",3,
ICLR,rywHCPkAW_R3,It is also interesting to see ( Section 4.1 ) that the noise evolves in non obvious ways across different games .,3,
ICLR,rywHCPkAW_R3,"A comparison to the paper ( s ) by Osband et al ( 2016 , 2017 ) would have also been worth adding .",3,
ICLR,rywHCPkAW_R3,"My second concern is that I find the title and overall discussion in the paper potentially misleading , by focusing only on the exploration part of the proposed algorithm ( s ) .",3,
ICLR,rywHCPkAW_R3,"Since there is no attempt to disentangle these exploration and optimization effects , it is unclear if one is more important than the other to explain the success of the approach .",3,
ICLR,rywHCPkAW_R3,- What is the justification for using epsilon instead of epsilon in eq .,3,
ICLR,rywHCPkAW_R3,"- The paper Dropout as a Bayesian approximation seems worth at least adding to the list of related work in the introduction . """,3,
ICLR,ryykVe-0W_R1,""" The paper proposes a GAN variant for solving the nonlinear independent component analysis ( ICA ) problem .",3,
ICLR,ryykVe-0W_R1,"The method seems interesting , but the presentation has a severe lack of focus .",4,
